Country,Region/State,Zip/Postal Code,Order Subtotal (and above),Shipping Price
US,RI,2859,1,14
US,RI,2860,1,14
US,RI,2861,1,14
US,RI,2862,1,14
US,RI,2863,1,14
US,RI,2864,1,14
US,RI,2865,1,14
US,RI,2871,1,14
US,RI,2872,1,14
US,RI,2873,1,14
US,RI,2874,1,14
US,RI,2875,1,14
US,RI,2876,1,14
US,RI,2877,1,14
US,RI,2878,1,14
US,RI,2879,1,14
US,RI,2880,1,14
US,RI,2881,1,14
US,RI,2882,1,14
US,RI,2883,1,14
US,RI,2885,1,14
US,RI,2886,1,14
US,RI,2887,1,14
US,RI,2888,1,14
US,RI,2889,1,14
US,RI,2891,1,14
US,RI,2892,1,14
US,RI,2893,1,14
US,RI,2894,1,14
US,RI,2895,1,14
US,RI,2896,1,14
US,RI,2898,1,14
US,RI,2901,1,14
US,RI,2902,1,14
US,RI,2903,1,14
US,RI,2904,1,14
US,RI,2905,1,14
US,RI,2906,1,14
US,RI,2907,1,14
US,RI,2908,1,14
US,RI,2909,1,14
US,RI,2910,1,14
US,RI,2911,1,14
US,RI,2912,1,14
US,RI,2914,1,14
US,RI,2915,1,14
US,RI,2916,1,14
US,RI,2917,1,14
US,RI,2918,1,14
US,RI,2919,1,14
US,RI,2920,1,14
US,RI,2921,1,14
US,RI,2940,1,14
US,NH,3031,1,14
US,NH,3032,1,14
US,NH,3033,1,14
US,NH,3034,1,14
US,NH,3036,1,14
US,NH,3037,1,14
US,NH,3038,1,14
US,NH,3040,1,14
US,NH,3041,1,14
US,NH,3042,1,14
US,NH,3043,1,14
US,NH,3044,1,14
US,NH,3045,1,14
US,NH,3046,1,14
US,NH,3047,1,14
US,NH,3048,1,14
US,NH,3049,1,14
US,NH,3051,1,14
US,NH,3052,1,14
US,NH,3053,1,14
US,NH,3054,1,14
US,NH,3055,1,14
US,NH,3057,1,14
US,NH,3060,1,14
US,NH,3061,1,14
US,NH,3062,1,14
US,NH,3063,1,14
US,NH,3064,1,14
US,NH,3070,1,14
US,NH,3071,1,14
US,NH,3073,1,14
US,NH,3076,1,14
US,NH,3077,1,14
US,NH,3079,1,14
US,NH,3082,1,14
US,NH,3084,1,14
US,NH,3086,1,14
US,NH,3087,1,14
US,NH,3101,1,14
US,NH,3102,1,14
US,NH,3103,1,14
US,NH,3104,1,14
US,NH,3105,1,14
US,NH,3106,1,14
US,NH,3107,1,14
US,NH,3108,1,14
US,NH,3109,1,14
US,NH,3110,1,14
US,NH,3111,1,14
US,NH,3215,1,14
US,NH,3216,1,14
US,NH,3217,1,14
US,NH,3218,1,14
US,NH,3220,1,14
US,NH,3221,1,14
US,NH,3222,1,14
US,NH,3223,1,14
US,NH,3224,1,14
US,NH,3225,1,14
US,NH,3226,1,14
US,NH,3227,1,14
US,NH,3229,1,14
US,NH,3230,1,14
US,NH,3231,1,14
US,NH,3233,1,14
US,NH,3234,1,14
US,NH,3235,1,14
US,NH,3237,1,14
US,NH,3238,1,14
US,NH,3240,1,14
US,NH,3241,1,14
US,NH,3242,1,14
US,NH,3243,1,14
US,NH,3244,1,14
US,NH,3245,1,14
US,NH,3246,1,14
US,NH,3247,1,14
US,NH,3249,1,14
US,NH,3251,1,14
US,NH,3252,1,14
US,NH,3253,1,14
US,NH,3254,1,14
US,NH,3255,1,14
US,NH,3256,1,14
US,NH,3257,1,14
US,NH,3258,1,14
US,NH,3259,1,14
US,NH,3260,1,14
US,NH,3261,1,14
US,NH,3262,1,14
US,NH,3263,1,14
US,NH,3264,1,14
US,NH,3266,1,14
US,NH,3268,1,14
